,0
1672,201.0
1673,72.0
1674,75.0
1675,101.0
1676,94.0
1677,103.0
1678,139.0
1679,146.0
1680,75.0
1681,96.0
1682,31.0
1683,63.0
1684,126.0
1685,62.0
1686,532.0
1687,0.0
1688,66.0
1689,233.0
1690,34.0
1691,150.0
1692,96.0
1693,20.0
1694,92.0
1695,86.0
1696,95.0
1697,387.0
1698,82.0
1699,78.0
1700,69.0
1701,55.0
1702,26.0
1703,470.0
1704,75.0
1705,362.0
1706,396.0
1707,135.0
1708,913.0
1709,230.0
1710,115.0
1711,55.0
1712,68.0
1713,157.0
1714,35.0
1715,162.0
1716,206.0
1717,70.0
1718,228.0
1719,200.0
1720,64.0
1721,173.0
1722,58.0
1723,127.0
1724,81.0
1725,313.0
1726,215.0
1727,116.0
1728,83.0
1729,38.0
1730,67.0
1731,150.0
1732,99.0
1733,106.0
1734,69.0
1735,45.0
1736,89.0
1737,120.0
1738,61.0
1739,100.0
1740,79.0
1741,98.0
1742,277.0
1743,138.0
1744,314.0
1745,112.0
1746,10.0
1747,93.0
1748,47.0
1749,99.0
1750,237.0
1751,181.0
1752,267.0
1753,27.0
1754,80.0
1755,130.0
1756,82.0
1757,46.0
1758,470.0
1759,106.0
1760,45.0
1761,215.0
1762,141.0
1763,152.0
1764,146.0
1765,147.0
1766,105.0
1767,283.0
1768,36.0
1769,208.0
1770,196.0
1771,37.0
1772,31.0
1773,114.0
1774,224.0
1775,130.0
1776,111.0
1777,177.0
1778,229.0
1779,57.0
1780,53.0
1781,98.0
1782,313.0
1783,189.0
1784,42.0
1785,150.0
1786,122.0
1787,50.0
1788,134.0
1789,282.0
1790,96.0
1791,105.0
1792,83.0
1793,98.0
1794,71.0
1795,178.0
1796,122.0
1797,61.0
1798,96.0
1799,48.0
1800,85.0
1801,40.0
1802,98.0
1803,90.0
1804,46.0
1805,134.0
1806,110.0
1807,48.0
1808,86.0
1809,130.0
1810,106.0
1811,84.0
1812,151.0
1813,108.0
1814,76.0
1815,56.0
1816,158.0
1817,234.0
1818,43.0
1819,101.0
1820,803.0
1821,127.0
1822,66.0
1823,0.0
1824,149.0
1825,185.0
1826,60.0
1827,111.0
1828,124.0
1829,37.0
1830,631.0
1831,67.0
1832,50.0
1833,58.0
1834,48.0
1835,140.0
1836,92.0
1837,133.0
1838,138.0
1839,35.0
1840,51.0
1841,183.0
1842,693.0
1843,86.0
1844,72.0
1845,55.0
1846,60.0
1847,72.0
1848,84.0
1849,268.0
1850,166.0
1851,69.0
1852,158.0
1853,165.0
1854,223.0
1855,98.0
1856,108.0
1857,113.0
1858,279.0
1859,90.0
1860,135.0
1861,49.0
1862,92.0
1863,131.0
1864,52.0
1865,124.0
1866,226.0
1867,41.0
1868,63.0
1869,108.0
1870,40.0
1871,183.0
1872,140.0
1873,202.0
1874,820.0
1875,213.0
1876,125.0
1877,133.0
1878,92.0
1879,167.0
1880,516.0
1881,176.0
1882,46.0
1883,108.0
1884,87.0
1885,107.0
1886,75.0
1887,56.0
1888,64.0
1889,405.0
1890,39.0
1891,58.0
1892,47.0
1893,245.0
1894,170.0
1895,59.0
1896,91.0
1897,240.0
1898,20.0
1899,47.0
1900,435.0
1901,92.0
1902,186.0
1903,170.0
1904,162.0
1905,345.0
1906,155.0
1907,56.0
1908,85.0
1909,55.0
1910,89.0
1911,180.0
1912,31.0
1913,169.0
1914,70.0
1915,110.0
1916,89.0
1917,10.0
1918,113.0
1919,72.0
1920,156.0
1921,231.0
1922,105.0
1923,75.0
1924,0.0
1925,107.0
1926,551.0
1927,788.0
1928,81.0
1929,109.0
1930,276.0
1931,244.0
1932,76.0
1933,57.0
1934,248.0
1935,143.0
1936,147.0
1937,62.0
1938,157.0
1939,93.0
1940,194.0
1941,63.0
1942,174.0
1943,497.0
1944,278.0
1945,104.0
1946,46.0
1947,216.0
1948,73.0
1949,224.0
1950,108.0
1951,43.0
1952,58.0
1953,259.0
1954,149.0
1955,117.0
1956,81.0
1957,224.0
1958,348.0
1959,178.0
1960,124.0
1961,147.0
1962,116.0
1963,117.0
1964,128.0
1965,230.0
1966,171.0
1967,6.0
1968,84.0
1969,256.0
1970,264.0
1971,66.0
1972,51.0
1973,175.0
1974,142.0
1975,90.0
1976,129.0
1977,195.0
1978,58.0
1979,33.0
1980,88.0
1981,79.0
1982,112.0
1983,58.0
1984,445.0
1985,84.0
1986,47.0
1987,148.0
1988,74.0
1989,103.0
1990,144.0
1991,52.0
1992,44.0
1993,145.0
1994,63.0
1995,68.0
1996,317.0
1997,518.0
1998,285.0
1999,157.0
